ts_utc,h1_bar_utc,h4_bar_close_utc,pair,h1_state,h1_dir,h1_gap_h4,h1_down_run,h4_bias,h4_tipo,h4_stato,h4_score,h4_spread,h4_event
2026-06-16T21:05:41+00:00,2026-06-16T20:00:00+00:00,2026-06-16T21:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.43,
2026-06-16T21:05:41+00:00,2026-06-16T20:00:00+00:00,2026-06-16T21:00:00+00:00,EURJPY,RIENTRO,LONG,1.9219,3,-,-,NESSUNO,88,1.92,
2026-06-16T21:05:41+00:00,2026-06-16T20:00:00+00:00,2026-06-16T21:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,69,1.59,
2026-06-16T21:05:41+00:00,2026-06-16T20:00:00+00:00,2026-06-16T21:00:00+00:00,USDCHF,RIENTRO,SHORT,-2.188,4,-,-,NESSUNO,94,2.19,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,62,1.1,1
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,AUDJPY,-,,,,LONG,RESUME,ESTESO,100,1.49,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,AUDUSD,-,,,,LONG,RESUME,ATTIVO,100,1.09,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.1,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,CHFJPY,RIENTRO,LONG,2.5875,6,-,-,NESSUNO,100,2.59,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.43,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,EURJPY,RIENTRO,LONG,1.9219,4,-,-,NESSUNO,88,1.92,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,69,1.59,
2026-06-16T22:05:33+00:00,2026-06-16T21:00:00+00:00,2026-06-16T21:00:00+00:00,USDCHF,RIENTRO,SHORT,-2.188,5,-,-,NESSUNO,94,2.19,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,62,1.1,1
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,AUDJPY,-,,,,LONG,RESUME,ESTESO,100,1.49,
